Dataset,Dataset Type,Framework,Trial,F1 Score,Training Time
31,binary,autopytorch,7,0.7390852390852394,319.6735394028947
31,binary,autopytorch,8,0.7241565778853915,328.3955146530643
31,binary,autopytorch,9,0.7458639705882354,316.7453437894583
31,binary,autopytorch,10,0.733443344022248,321.3457315163687
31,binary,autopytorch,11,0.7690047549268817,317.5632031969726
31,binary,autopytorch,12,0.7842100283822139,311.2675055908039
31,binary,autopytorch,13,0.7493256612154249,319.04050888027996
31,binary,autopytorch,14,0.7176724782439666,315.48912669532
31,binary,autopytorch,15,0.7226339285714285,335.82227278035134
31,binary,autopytorch,16,0.7078125,318.8032858232036
31,binary,autopytorch,17,0.732398316970547,314.7588089108467
31,binary,autopytorch,18,0.7487975646879756,312.18621483724564
31,binary,autopytorch,19,0.744456634824553,313.448612540029
31,binary,autopytorch,20,0.738767413255528,313.88578506466
31,binary,autosklearn,1,0.7394407727503812,304.3691833210178
31,binary,autosklearn,2,0.733535095777619,303.5220287190168
31,binary,autosklearn,3,0.7150832809033412,304.37723804297275
31,binary,autosklearn,4,0.8053553235304745,299.80081400400377
31,binary,autosklearn,5,0.6969920694192538,300.0436222470016
31,binary,autosklearn,6,0.7686384814495254,299.57450639799936
31,binary,autosklearn,7,0.7519033742839167,299.311564832984
31,binary,autosklearn,8,0.7484407484407484,309.26031623600284
31,binary,autosklearn,9,0.7382826338082402,304.30711578199407
31,binary,autosklearn,10,0.7395771383158382,297.23662371898536
31,binary,autosklearn,11,0.7469999999999999,301.92559022200294
31,binary,autosklearn,12,0.7554910394265232,300.7897471860051
31,binary,autosklearn,13,0.7345530145530145,300.27599664599984
31,binary,autosklearn,14,0.7239257981018119,303.018146093993
31,binary,autosklearn,15,0.7310284728213978,307.2837057110155
31,binary,autosklearn,16,0.7964583333333334,298.4498315129895
31,binary,autosklearn,17,0.754616048317515,300.8176899229875
31,binary,autosklearn,18,0.7250548245614036,299.36272075600573
31,binary,autosklearn,19,0.7342400751703078,303.78859684598865
31,binary,autosklearn,20,0.7296371481808376,303.26187765900977
31,binary,evalml,1,0.7248014160858501,304.09534505102783
31,binary,evalml,2,0.7074866310160427,305.2291717529879
31,binary,evalml,3,0.7314243651085758,305.1190533799818
31,binary,evalml,4,0.7795185850751915,306.1482875639922
31,binary,evalml,5,0.7248014160858501,304.2694011749991
31,binary,evalml,6,0.7447303710693569,306.03071640699636
31,binary,evalml,7,0.747702839187521,303.0469675110071
31,binary,evalml,8,0.7076493443419136,304.3330911079829
31,binary,evalml,9,0.6526572315144176,302.53710807600874
31,binary,evalml,10,0.7227991891681177,302.4845086479909
31,binary,evalml,11,0.7351293809367836,301.74850209298893
31,binary,evalml,12,0.7030766509754837,307.710765507014
31,binary,evalml,13,0.721643753735804,308.30283918301575
31,binary,evalml,14,0.6706075533661741,305.20944939600304
31,binary,evalml,15,0.6013003832761342,306.4493144720036
31,binary,evalml,16,0.7472592592592592,308.32874468999216
31,binary,evalml,17,0.7377005347593584,303.435520619998
31,binary,evalml,18,0.7211607142857143,305.86649745798786
31,binary,evalml,19,0.725687777748902,309.0391396030027
31,binary,evalml,20,0.7118631656030965,303.558293649985
31,binary,fedot,1,0.7120831728917981,301.7199373570038
31,binary,fedot,2,0.7019449927622056,299.54200712998863
31,binary,fedot,3,0.729290767903365,301.2227826740127
31,binary,fedot,4,0.8058408679927667,300.808113749983
31,binary,fedot,5,0.6316048762096267,301.38376279798103
31,binary,fedot,6,0.7490340759003259,301.99107233501854
31,binary,fedot,7,0.7357440476190475,300.787006464001
31,binary,fedot,8,0.7189194633423283,300.7901273139869
31,binary,fedot,9,0.71725908906609,299.76508946399554
31,binary,fedot,10,0.6788188372449763,301.2999228289991
31,binary,fedot,11,0.7389246323529411,302.1887383580033
31,binary,fedot,12,0.7460132497338223,300.5487673400203
31,binary,fedot,13,0.7124324324324324,301.3097081160231
31,binary,fedot,14,0.6808330328164441,198.49146498399205
31,binary,fedot,15,0.707667252331396,301.7623861359898
31,binary,fedot,16,0.7356855100714751,300.39725717902184
31,binary,fedot,17,0.7290206648697215,300.72011740898597
31,binary,fedot,18,0.6781000828108364,301.24599306099117
31,binary,fedot,19,0.707667252331396,300.6590375480009
31,binary,flaml,1,0.6942857142857144,300.00484634999884
31,binary,flaml,2,0.7563283147158816,300.0682754110021
31,binary,flaml,3,0.7150832809033412,300.0770177950035
31,binary,flaml,4,0.7903684653511643,300.01343554700725
31,binary,flaml,5,0.7243365915327926,300.04121601601946
31,binary,flaml,6,0.7559373040752351,300.05724367900984
31,binary,flaml,7,0.7265877089090671,300.45939456799533
31,binary,flaml,8,0.7287127084801504,300.47481207500095
31,binary,flaml,9,0.7037516869095817,300.0574186469894
31,binary,flaml,10,0.7386607378709167,300.5600797160005
31,binary,flaml,11,0.7901785714285714,300.0287719290063
31,binary,flaml,12,0.7431071766454926,300.01393263298087
31,binary,flaml,13,0.7526293376823412,300.03227485797834
31,binary,flaml,14,0.7124587585951713,300.02709657201194
31,binary,flaml,15,0.7695676975733095,300.17591703598737
31,binary,flaml,16,0.7939673982800667,300.1364099140046
31,binary,flaml,17,0.7460718515594158,300.51413782598684
31,binary,flaml,18,0.7005059523809524,301.15241908499996
31,binary,flaml,19,0.7449004371053909,299.985290555
31,binary,flaml,20,0.7301891685736079,300.5755020910001
31,binary,gama,1,0.7390873015873016,269.28363630599983
31,binary,gama,2,0.7338794578233978,269.31809742300015
31,binary,gama,3,0.7232640332640333,269.2427007000001
31,binary,gama,4,0.8279643657313559,269.57908460299996
31,binary,gama,5,0.711544090863936,269.2242224060001
31,binary,gama,6,0.7386866727909904,269.326867108
31,binary,gama,7,0.751313053523296,269.3255106920001
31,binary,gama,8,0.727615520791936,269.22901688499996
31,binary,gama,9,0.7447874720357942,269.2696935040003
31,binary,gama,10,0.7513513513513513,269.24870751900016
31,binary,gama,11,0.7656078431372549,269.3525149019997
31,binary,gama,12,0.7509824561403508,269.5117827389995
31,binary,gama,13,0.6879052286499552,269.2828449819999
31,binary,gama,14,0.7232346361363338,269.32525250399976
31,binary,gama,15,0.7949687488709851,270.2400257499994
31,binary,gama,16,0.7328041415012941,270.3379182819999
31,binary,gama,17,0.7182018981880932,269.47289417499996
31,binary,gama,18,0.7580350342726581,269.39573123600076
31,binary,gama,19,0.7465280665280666,269.54172070499953
31,binary,gama,20,0.7728032082083891,114.94647696299944
31,binary,h2o,1,0.6944418734540813,300.7671382818371
31,binary,h2o,2,0.7256214962871651,301.2050633672625
31,binary,h2o,3,0.7030597377367654,300.7811569282785
31,binary,h2o,4,0.802708163450213,300.90488014090806
31,binary,h2o,5,0.6978772774633211,300.66166801098734
31,binary,h2o,6,0.7322606481878773,301.10533759277314
31,binary,h2o,7,0.7581352809580207,300.9285265924409
31,binary,h2o,8,0.7174529461836753,300.83107415400445
31,binary,h2o,9,0.751516919820361,300.99757708236575
31,binary,h2o,10,0.747546728279866,301.05884006246924
31,binary,h2o,11,0.7587075167452244,300.95301134325564
31,binary,h2o,12,0.7164619980086293,300.23671423178166
31,binary,h2o,13,0.6974968995452667,300.2884365962818
31,binary,h2o,14,0.6659043255416635,300.91257400996983
31,binary,h2o,15,0.7200076277650648,300.4138336516917
31,binary,h2o,16,0.7696145454545454,300.2133095152676
31,binary,h2o,17,0.761952707856598,300.93697183951735
31,binary,h2o,18,0.7532800142184307,300.40229258779436
31,binary,h2o,19,0.7610288494960028,301.0325245000422
31,binary,h2o,20,0.7444411282299481,300.8447950789705
31,binary,lightautoml,1,0.5504761904761906,168.08523491099913
31,binary,lightautoml,2,0.5699410029498525,182.42730105200098
31,binary,lightautoml,3,0.6027906976744185,151.64609692399972
31,binary,lightautoml,4,0.6361318051575932,197.91430247799872
31,binary,lightautoml,5,0.5504761904761906,171.321237103999
31,binary,lightautoml,6,0.5895906432748538,188.3571557819996
31,binary,lightautoml,7,0.5830205278592375,177.09874569800013
31,binary,lightautoml,8,0.6227377521613833,191.70470350500182
31,binary,lightautoml,9,0.5248192771084337,205.98464819100263
31,binary,lightautoml,10,0.5312012012012012,174.60884439800066
31,binary,lightautoml,11,0.5440298507462686,163.5332362959998
31,binary,lightautoml,12,0.6227377521613833,177.68803533900063
31,binary,lightautoml,13,0.5184592145015106,179.45244438100053
31,binary,lightautoml,14,0.5440298507462686,165.93068944200058
31,binary,lightautoml,15,0.5699410029498525,194.66914202800035
31,binary,lightautoml,16,0.5895906432748538,171.46497925800213
31,binary,lightautoml,17,0.5764705882352941,182.89590613900145
31,binary,lightautoml,18,0.5634319526627218,171.96691791400008
31,binary,lightautoml,19,0.5634319526627218,185.5539787489979
31,binary,lightautoml,20,0.5699410029498525,154.29683626100086
31,binary,lightwood,1,0.6662766375717544,4.5533969909993175
31,binary,lightwood,2,0.6723251823251825,10.05177603499942
31,binary,lightwood,3,0.6787938288920057,4.417613302999598
31,binary,lightwood,4,0.7568204365079364,2.851684737999676
31,binary,lightwood,5,0.6990933333333333,8.911029799000062
31,binary,lightwood,6,0.7319097222222222,3.3970330219999596
31,binary,lightwood,7,0.7185916283245426,2.9281009329997687
31,binary,lightwood,8,0.7304479476006773,4.623092088000703
31,binary,lightwood,9,0.7076875194522253,3.5798060799997984
31,binary,lightwood,10,0.7752716468590833,11.18203232399992
31,binary,lightwood,11,0.6852747252747254,3.1106101699997453
31,binary,lightwood,12,0.6906666666666667,17.5269032340002
31,binary,lightwood,13,0.7457118945496392,3.8503776280003876
31,binary,lightwood,14,0.7018052738336713,3.814389504999781
31,binary,lightwood,15,0.7390234375,3.9181624289994943
31,binary,lightwood,16,0.7260216654262797,3.166240943000048
31,binary,lightwood,17,0.711333883712702,3.21768640099981
31,binary,lightwood,18,0.7106960950764009,3.7236372529996515
31,binary,lightwood,19,0.7207271963009667,4.16430912999931
31,binary,lightwood,20,0.7108751608751609,3.216166490999967
31,binary,mljar,1,0.6792020592020591,31.56621454099968
31,binary,mljar,2,0.7167565151163946,28.143149351999455
31,binary,mljar,3,0.7107728621096616,28.31185212100081
31,binary,mljar,4,0.7914079139872752,28.943376858000192
31,binary,mljar,5,0.6992105263157896,25.249391721999928
31,binary,mljar,6,0.7363554788610871,26.52591283000038
31,binary,mljar,7,0.745231638418079,29.896311495999726
31,binary,mljar,8,0.7131343058198181,29.041556224000487
31,binary,mljar,9,0.7324055733704136,30.061525751999397
31,binary,mljar,10,0.6893419754346568,23.620700598999974
31,binary,mljar,11,0.7810133648049505,25.093907950000357
31,binary,mljar,12,0.7702711722987068,23.507781461000377
31,binary,mljar,13,0.7691800356506241,24.64855416299997
31,binary,mljar,14,0.7231685789938216,23.166252746999817
31,binary,mljar,15,0.7447245736719421,24.277367459000743
31,binary,mljar,16,0.7689930145768875,24.67590792700048
31,binary,mljar,17,0.7286425489545303,24.94106788099998
31,binary,mljar,18,0.723595951953088,24.76667034900038
31,binary,mljar,19,0.7444237034428107,23.92721423399962
31,binary,mljar,20,0.7475357615097968,23.801404376999926
31,binary,naive,1,0.6776168960806978,290.7207599969988
31,binary,naive,2,0.7251213127957314,288.9139386730003
31,binary,naive,3,0.7242370398079739,110.14130776300044
31,binary,naive,4,0.7885780885780885,56.445361590000175
31,binary,pycaret,1,0.737968650901513,8.072811941616237
31,binary,pycaret,2,0.7424000000000001,8.094607634469867
31,binary,pycaret,3,0.7171521035598706,8.190990042872727
31,binary,pycaret,4,0.8097202797202796,8.329330410808325
31,binary,pycaret,5,0.7156973461321288,7.787453595548868
31,binary,pycaret,6,0.7620356387798249,8.14004978351295
31,binary,pycaret,7,0.7632902080162354,8.126671553589404
31,binary,pycaret,8,0.7431071766454926,8.518629181198776
31,binary,pycaret,9,0.7575711718528327,8.234680317342281
31,binary,pycaret,10,0.7654117966838815,8.556911151856184
31,binary,pycaret,11,0.7165284905908672,7.84952453058213
31,binary,pycaret,12,0.7782788771283939,8.223606176674366
31,binary,pycaret,13,0.7581455157579725,8.084698975086212
31,binary,pycaret,14,0.6823809523809524,7.978179173544049
31,binary,pycaret,15,0.740148668739019,8.387705970555544
31,binary,pycaret,16,0.7982132720637923,8.598700012080371
31,binary,pycaret,17,0.7260464469475734,9.062184982933104
31,binary,pycaret,18,0.7450874190409076,8.892670006491244
31,binary,pycaret,19,0.7741970310391363,8.143068986013532
31,binary,pycaret,20,0.7345135566188198,8.699981477111578
31,binary,tpot,1,0.7071414333605146,176.98086610698374
31,binary,tpot,2,0.7545433957449523,217.52417045697803
31,binary,tpot,3,0.714932614555256,43.904675865022
31,binary,tpot,4,0.8131394692264258,95.3543330039829
31,binary,tpot,5,0.737717514124294,126.44971562601859
31,binary,tpot,6,0.7339320142059867,136.07641550400876
31,binary,tpot,7,0.7141259079903147,232.19821635101107
31,binary,tpot,8,0.7292664426012148,31.38112638000166
31,binary,tpot,9,0.747546728279866,210.11269635899225
31,binary,tpot,10,0.7936615811373093,76.81242618898978
31,binary,tpot,11,0.7497142857142858,169.20693977901828
31,binary,tpot,12,0.7338794578233978,124.18899336998584
31,binary,tpot,13,0.7686384814495254,92.75519283098402
31,binary,tpot,14,0.741248097412481,50.077587980020326
31,binary,tpot,15,0.7531491818442794,142.8315767039894
31,binary,tpot,16,0.7592643328259767,128.13397380700917
31,binary,tpot,17,0.7593262619099009,110.64654178297496
37,binary,4intelligence,1,0.835834546842799,129.75686316599985
37,binary,4intelligence,2,0.8309743119668805,93.24185498600099
37,binary,4intelligence,3,0.8309743119668805,73.86877025099966
37,binary,4intelligence,4,0.8337351416229444,101.14184604499928
37,binary,4intelligence,5,0.8325636883169143,117.73642466000183
37,binary,4intelligence,6,0.8309743119668805,96.39136822999933
37,binary,4intelligence,7,0.8309743119668805,80.68549620299973
37,binary,4intelligence,8,0.835834546842799,82.3511095809996
37,binary,4intelligence,9,0.835834546842799,89.65288111699965
37,binary,4intelligence,10,0.8277173062869012,87.3493387869994
37,binary,4intelligence,11,0.8309822972533798,88.08776826200233
37,binary,4intelligence,12,0.8309743119668805,73.22877998499894
37,binary,4intelligence,13,0.8309743119668805,74.68824545699908
37,binary,4intelligence,14,0.8332568710353442,261.7418084530018
37,binary,4intelligence,15,0.8309743119668805,179.93986078300168
37,binary,4intelligence,16,0.835834546842799,67.08229524700141
37,binary,4intelligence,17,0.8323515978755471,65.82512812399955
37,binary,4intelligence,18,0.835834546842799,54.70494048499995
37,binary,4intelligence,19,0.8309743119668805,67.72051058399438
37,binary,4intelligence,20,0.8309743119668805,62.5450182400059
37,binary,autogluon,1,0.7818140709198478,12.381780413008528
37,binary,autogluon,2,0.7355619601957096,32.115634298999794
37,binary,autogluon,3,0.7580832960143304,41.30731788399862
37,binary,autogluon,4,0.7895526695526696,14.381692977010971
37,binary,autogluon,5,0.7487456279654328,10.810783066990552
37,binary,autogluon,6,0.7474314900785488,15.80859205199522
37,binary,autogluon,7,0.7636653617514862,11.832675722980639
37,binary,autogluon,8,0.7396246064671281,36.29087646098924
37,binary,autogluon,9,0.804276605747194,10.194348705001175
37,binary,autogluon,10,0.7402597402597403,17.535144894005498
37,binary,autogluon,11,0.6883116883116883,18.224719104007818
