Dataset,Dataset Type,Framework,Trial,F1 Score,Training Time
23,multiclass,autokeras,15,0.5223477922897473,36.74167157098418
23,multiclass,autokeras,16,0.4821939097433539,78.21284755296074
23,multiclass,autokeras,17,0.45085955947945644,28.889126229973044
23,multiclass,autokeras,18,0.5089318760580059,38.25319363398012
23,multiclass,autokeras,19,0.47150596741896356,29.296774113026913
23,multiclass,autokeras,20,0.48193962623459324,27.407220850989688
23,multiclass,autopytorch,1,0.5533235592798444,310.74872641602997
23,multiclass,autopytorch,2,0.5269212231557139,315.2650507800281
23,multiclass,autopytorch,3,0.518610863450086,310.84921779698925
23,multiclass,autopytorch,4,0.559220373327838,317.60298352496466
23,multiclass,autopytorch,5,0.5435001508744237,319.37418856000295
23,multiclass,autopytorch,6,0.5674408024184718,312.61802372999955
23,multiclass,autopytorch,7,0.552704835220108,318.144230839971
23,multiclass,autopytorch,8,0.48101973388754454,316.76722626702394
23,multiclass,autopytorch,9,0.534927079227434,318.5295215420192
23,multiclass,autopytorch,10,0.5214602831536497,312.47639776498545
23,multiclass,autopytorch,11,0.4777424946082907,308.95199481700547
23,multiclass,autopytorch,12,0.5885900938588737,308.46488682198105
23,multiclass,autopytorch,13,0.5187635043198671,315.5395359239774
23,multiclass,autopytorch,14,0.4993125077695469,306.3553023969871
23,multiclass,autopytorch,15,0.4966054040315791,309.71337330399547
23,multiclass,autopytorch,16,0.5389719662450347,312.2556648879545
23,multiclass,autopytorch,17,0.5074230596986935,307.62995379196946
23,multiclass,autopytorch,18,0.5554221029955697,317.74365935800597
23,multiclass,autopytorch,19,0.49780242515501527,315.9130815140088
23,multiclass,autopytorch,20,0.5405845053170791,307.13798267097445
23,multiclass,autosklearn,1,0.5617986715306219,301.98566334403586
23,multiclass,autosklearn,2,0.5578839658886915,297.4847962560016
23,multiclass,autosklearn,3,0.5327251086666263,303.81911530398065
23,multiclass,autosklearn,4,0.5700704131662765,301.59658862894867
23,multiclass,autosklearn,5,0.591674335322327,299.32318623299943
23,multiclass,autosklearn,6,0.6080349517821129,298.78462817595573
23,multiclass,autosklearn,7,0.6305895341573979,300.1505753660458
23,multiclass,autosklearn,8,0.5189954142223141,304.1492567039677
23,multiclass,autosklearn,9,0.5568009523743521,304.73270707100164
23,multiclass,autosklearn,10,0.5781238362153883,302.0505375470384
23,multiclass,autosklearn,11,0.5185468272137436,296.6947982709971
23,multiclass,autosklearn,12,0.6094708039157549,303.15121682500467
23,multiclass,autosklearn,13,0.5429373598976096,298.69241010100814
23,multiclass,autosklearn,14,0.5632854174444973,298.22982292599045
23,multiclass,autosklearn,15,0.5493327791744385,300.009596007003
23,multiclass,autosklearn,16,0.5699635596640634,298.3396778929746
